[26/Jul/2023 22:50:10] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\templates with glob **/*.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\user\templates with glob **/*.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_farm\templates with glob **/*.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\crispy_bootstrap4\templates with glob **/*.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\whitenoise\runserver_nostatic\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_farm\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\user\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\crispy_bootstrap4\locale with glob **/*.mo.
[26/Jul/2023 22:50:10] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\widget_tweaks\locale with glob **/*.mo.
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\__init__.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\mssql\__init__.py first seen with mtime 1690363927.2589803
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_farm\models.py first seen with mtime 1690385399.9592376
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\__init__.py first seen with mtime 1690364951.2283158
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1690364950.8162594
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1690364954.3253863
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1690364951.2483134
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1690364953.6567385
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\urllib\response.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\asyncio\staggered.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\forms\models.py first seen with mtime 1690364952.4163084
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1690364953.514731
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1690364953.314711
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\http\__init__.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\views\generic\list.py first seen with mtime 1690364954.4446876
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1690277382.3543384
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\transaction.py first seen with mtime 1690364951.2343142
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_8.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\mimetypes.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1690364953.7747133
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1690364953.6087358
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1690364951.859456
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\checks\database.py first seen with mtime 1690364950.582579
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_cattle\settings.py first seen with mtime 1690400803.5264485
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_cattle\urls.py first seen with mtime 1689618385.1639135
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1690364927.9447088
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1690364930.7049358
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1690364953.9903007
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\urls\conf.py first seen with mtime 1690364953.756091
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1690364952.1756613
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\sessions\management\commands\__init__.py first seen with mtime 1690364948.2592895
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\whitenoise\base.py first seen with mtime 1690285989.3312142
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\email\parser.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1690364928.1007216
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1690364930.63893
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\bisect.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1690364928.0677185
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\views\static.py first seen with mtime 1690364954.2896247
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py first seen with mtime 1690277238.706924
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\glob.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1690364952.1846426
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\operator.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1690364928.0347178
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1690364928.0947216
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1690277382.3000214
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\forms\__init__.py first seen with mtime 1690364952.3453245
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1690364952.100649
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\sqlparse\utils.py first seen with mtime 1690277382.3493357
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\forms\utils.py first seen with mtime 1690364952.4563117
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py first seen with mtime 1690277238.6629207
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1690364948.3802989
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1690364920.2343063
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\signals.py first seen with mtime 1690364950.4485679
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\crispy_forms\templatetags\crispy_forms_filters.py first seen with mtime 1690277420.986614
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\views\debug.py first seen with mtime 1690364954.264331
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_cattle\__init__.py first seen with mtime 1682959246.4561214
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\email\mime\__init__.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1690364951.1723087
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\crispy_forms\templatetags\crispy_forms_tags.py first seen with mtime 1690277421.0006163
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\asyncio\futures.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\json\decoder.py first seen with mtime 1670350170.0
